epoch,train_loss,lr
1,0.30338,0.001
2,0.27487,0.0009998372293633896
3,0.27115,0.0009993490290084225
4,0.2665,0.0009985357335232357
5,0.26728,0.0009973979002999296
6,0.26822,0.0009959363091525597
7,0.2665,0.0009941519617826901
8,0.26624,0.0009920460810928782
9,0.26567,0.0009896201103485572
10,0.26224,0.0009868757121888959
11,0.26545,0.0009838147674873067
12,0.26466,0.000980439374062391
13,0.26768,0.0009767518452401972
14,0.26647,0.0009727547082687839
15,0.26683,0.00096845070258617
16,0.26729,0.0009638427779428603
17,0.26815,0.0009589340923802345
18,0.26655,0.000953728010066183
19,0.26503,0.0009482280989894738
20,0.26504,0.0009424381285144327
21,0.26923,0.0009363620667976076
22,0.26766,0.000930004078068193
23,0.2699,0.0009233685197740756
24,0.26581,0.0009164599395954567
25,0.26695,0.0009092830723280993
26,0.26601,0.000901842836638336
27,0.26433,0.0008941443316920605
28,0.26998,0.000886192833660014
29,0.26622,0.0008779937921017616
30,0.27002,0.0008695528262308358
31,0.26729,0.0008608757210636094
32,0.25947,0.0008519684234545323
33,0.26321,0.0008428370380204568
34,0.26525,0.0008334878229568364
35,0.2638,0.000823927185748672
36,0.26179,0.0008141616787791415
37,0.26642,0.000804197994838924
38,0.26441,0.0007940429625392948
39,0.26354,0.0007837035416321371
40,0.26297,0.0007731868182400749
41,0.26683,0.0007624999999999992
42,0.2671,0.0007516504111233133
43,0.26648,0.0007406454873762839
44,0.2664,0.0007294927709839394
45,0.26441,0.0007181999054610043
46,0.26897,0.0007067746303734168
47,0.26449,0.0006952247760340169
48,0.26259,0.0006835582581360403
49,0.26126,0.0006717830723280993
50,0.26337,0.0006599072887343626
51,0.26647,0.0006479390464236966
52,0.26748,0.0006358865478315544
53,0.26712,0.0006237580531384349
54,0.26537,0.0006115618746087694
55,0.26533,0.000599306370894109
56,0.26466,0.0005869999413045239
57,0.26536,0.0005746510200521348
58,0.26526,0.0005622680704707257
59,0.26411,0.0005498595792153976
60,0.26441,0.000537434050446239
61,0.2674,0.0005249999999999994
62,0.26257,0.0005125659495537596
63,0.26051,0.000500140420784601
64,0.26214,0.000487731929529273
65,0.26728,0.00047534897994786396
66,0.26575,0.0004630000586954749
67,0.26505,0.0004506936291058896
68,0.26594,0.00043843812539122933
69,0.26326,0.0004262419468615636
70,0.26726,0.0004141134521684443
71,0.25932,0.00040206095357630205
72,0.26235,0.0003900927112656361
73,0.26549,0.00037821692767189943
74,0.26536,0.0003664417418639583
75,0.26579,0.00035477522396598187
76,0.26296,0.0003432253696265819
77,0.26274,0.00033180009453899446
78,0.26237,0.00032050722901605947
79,0.2629,0.00030935451262371487
80,0.26047,0.0002983495888766856
81,0.26504,0.0002874999999999997
82,0.26573,0.00027681318175992395
83,0.26629,0.00026629645836786196
84,0.26432,0.000255957037460704
85,0.26573,0.000245802005161075
86,0.26569,0.0002358383212208574
87,0.26594,0.00022607281425132702
88,0.26227,0.00021651217704316255
89,0.26644,0.00020716296197954224
90,0.26404,0.00019803157654546655
91,0.26561,0.00018912427893638973
92,0.26322,0.00018044717376916318
93,0.26338,0.00017200620789823763
94,0.26593,0.00016380716633998516
95,0.26265,0.00015585566830793868
96,0.26569,0.00014815716336166312
97,0.26523,0.0001407169276718999
98,0.26337,0.00013354006040454256
99,0.26054,0.00012663148022592355
100,0.26203,0.00011999592193180614
101,0.26536,0.00011363793320239157
102,0.26404,0.00010756187148556646
103,0.26356,0.00010177190101052526
104,0.2645,9.627198993381628e-05
105,0.26842,9.106590761976451e-05
106,0.26161,8.615722205713877e-05
107,0.26307,8.154929741382915e-05
108,0.26359,7.724529173121529e-05
109,0.26277,7.324815475980206e-05
110,0.25968,6.956062593760834e-05
111,0.26159,6.618523251269253e-05
112,0.2673,6.312428781110362e-05
113,0.26109,6.037988965144228e-05
114,0.26121,5.79539189071216e-05
115,0.26478,5.5848038217309605e-05
116,0.26279,5.4063690847440067e-05
117,0.26426,5.2602099700070135e-05
118,0.26384,5.146426647676422e-05
119,0.262,5.065097099157743e-05
120,0.26216,5.01627706366103e-05
