od_key,src,dst,is_diag,class,flow_scale,sum_mse,rmse,mae,mean_true,max_true,mean_pred,rank,mse_share_pct,cum_mse_pct,rank_pct,tier
34_38-34_38,34_38,34_38,True,True Stable,Large (200~500人),9875.097241252251,18.779830785458042,15.468455459243547,379.416071529257,423.28250319647793,378.00441428571423,11,1.9977249003854975,38.73486174646746,0.7096774193548387,🔴 Top 1% 核心幹線 (極高誤差)
34_37-34_37,34_37,34_37,True,True Stable,Medium (50~200人),7676.064787949775,16.557329826943903,13.554491623341011,125.943891434148,141.62538763665046,127.88395,12,1.5528622543381674,40.28772400080563,0.7741935483870968,🔴 Top 1% 核心幹線 (極高誤差)
31_49-31_49,31_49,31_49,True,True Stable,Large (200~500人),6550.628016091007,15.295456860606643,12.323854053513108,186.2317224724689,230.7266570691761,186.34321785714286,13,1.3251872241055915,41.61291122491122,0.8387096774193548,🔴 Top 1% 核心幹線 (極高誤差)
39_38-39_38,39_38,39_38,True,True Stable,Medium (50~200人),6355.959054341305,15.066470643619448,11.59816283060388,155.05669529053324,180.81712002575532,158.98340714285715,14,1.2858058364879588,42.898717061399175,0.903225806451613,🔴 Top 1% 核心幹線 (極高誤差)
41_48-41_48,41_48,41_48,True,True Stable,Large (200~500人),5997.5389802984155,14.635498649685408,12.08956545374592,243.96126631084354,274.59942885360977,245.2518535714286,15,1.2132977194314125,44.11201478083059,0.967741935483871,🔴 Top 1% 核心幹線 (極高誤差)
41_46-41_46,41_46,41_46,True,Recovered,Large (200~500人),5895.804497975121,14.510838926686986,12.238718053063792,183.7410309025769,213.59357815000106,186.29737142857144,16,1.1927169085695135,45.30473168940011,1.032258064516129,🟠 Top 1%~5% 次級幹線 (高度誤差)
43_45-43_45,43_45,43_45,True,Partial Recovery,Large (200~500人),5893.933286058424,14.50853601709109,11.207036779834407,207.73406298253585,235.69706762412352,210.35021071428568,17,1.192338363776631,46.497070053176735,1.096774193548387,🟠 Top 1%~5% 次級幹線 (高度誤差)
30_37-30_37,30_37,30_37,True,Partial Dissipation,Medium (50~200人),5888.369753009613,14.501686789830462,11.841790277077909,97.51206719718725,124.01339074565259,95.74009642857143,18,1.1912128651375598,47.68828291831429,1.1612903225806452,🟠 Top 1%~5% 次級幹線 (高度誤差)
40_46-40_46,40_46,40_46,True,Partial Dissipation,Medium (50~200人),5416.941484758885,13.90906883598776,10.933083681413018,130.51258631985326,156.17574208389425,130.29156785714287,19,1.0958432736062598,48.784126191920556,1.2258064516129032,🟠 Top 1%~5% 次級幹線 (高度誤差)
34_39-34_39,34_39,34_39,True,Delayed Increase,Large (200~500人),5100.776857534073,13.497059015014653,11.227936522487363,165.27649349894645,200.70079904164024,168.69134285714287,20,1.0318834023262469,49.81600959424681,1.2903225806451613,🟠 Top 1%~5% 次級幹線 (高度誤差)
30_70-30_70,30_70,30_70,True,True Stable,Large (200~500人),5015.7419199911565,13.384081589697672,10.873660162812836,200.02278383930053,229.32467217379047,203.19122142857145,21,1.014680897076722,50.83069049132353,1.3548387096774193,🟠 Top 1%~5% 次級幹線 (高度誤差)
38_44-38_44,38_44,38_44,True,True Stable,Medium (50~200人),5002.5355187029045,13.3664498955713,11.114086413975818,142.62665303400465,182.369415707123,141.2622607142857,22,1.0120092518206316,51.84269974314416,1.4193548387096775,🟠 Top 1%~5% 次級幹線 (高度誤差)
31_48-31_48,31_48,31_48,True,True Stable,Large (200~500人),4454.942854739816,12.613687088040253,9.388360329816175,348.4280204592938,376.6564922444023,348.37042142857155,23,0.9012316591203119,52.743931402264465,1.4838709677419355,🟠 Top 1%~5% 次級幹線 (高度誤差)
42_43-42_43,42_43,42_43,True,True Stable,Medium (50~200人),3971.5599336201853,11.909719820412272,9.29553599448811,122.84984771161204,140.79934020801284,119.7692107142857,24,0.803443650116432,53.5473750523809,1.5483870967741935,🟠 Top 1%~5% 次級幹線 (高度誤差)
32_47-32_47,32_47,32_47,True,Partial Dissipation,Large (200~500人),3896.9443009587303,11.797312498069106,9.203559577118455,177.7297418693018,204.7199446491457,177.22842500000004,25,0.7883489625721803,54.33572401495308,1.6129032258064515,🟠 Top 1%~5% 次級幹線 (高度誤差)
38_43-38_43,38_43,38_43,True,Partial Dissipation,Medium (50~200人),3821.0621549222196,11.68188792674097,10.354835974214465,106.53652207671037,131.53856718915023,107.19535357142857,26,0.7729980603047508,55.10872207525783,1.6774193548387095,🟠 Top 1%~5% 次級幹線 (高度誤差)
37_42-37_42,37_42,37_42,True,Temporary Increase,Medium (50~200人),3473.4608595799323,11.137871141130434,9.07999927216912,93.60971977712362,118.96843255129393,92.21523928571426,27,0.7026785742129376,55.81140064947077,1.7419354838709675,🟠 Top 1%~5% 次級幹線 (高度誤差)
42_49-42_49,42_49,42_49,True,Delayed Increase,Medium (50~200人),3430.0875072556214,11.06811299450495,9.49687821239492,46.68236082060825,66.81324047702869,44.51482142857143,28,0.6939041769756622,56.50530482644642,1.806451612903226,🟠 Top 1%~5% 次級幹線 (高度誤差)
50_44-50_44,50_44,50_44,True,True Stable,Medium (50~200人),3429.048507451338,11.06643655940168,8.48101691527922,139.4091372278363,167.1170313785171,134.61975714285714,29,0.6936939880803223,57.19899881452674,1.870967741935484,🟠 Top 1%~5% 次級幹線 (高度誤差)
30_50-30_50,30_50,30_50,True,True Stable,Medium (50~200人),3220.1492814644334,10.72405387346001,8.26831739547809,56.51700172037791,71.18292260833275,58.25117857142857,30,0.6514338284859469,57.850432643012695,1.935483870967742,🟠 Top 1%~5% 次級幹線 (高度誤差)
32_37-32_37,32_37,32_37,True,True Stable,Medium (50~200人),3215.2932433815436,10.715964797877083,8.666549184974437,88.1710680336962,104.13536153887236,85.83806071428572,31,0.650451455557518,58.500884098570204,2.0,🟠 Top 1%~5% 次級幹線 (高度誤差)
40_47-40_47,40_47,40_47,True,True Stable,Medium (50~200人),3127.885158680931,10.569303867266031,8.912402506565089,133.9181722583246,152.61248442808818,129.43217857142855,32,0.6327688643854562,59.133652962955665,2.064516129032258,🟠 Top 1%~5% 次級幹線 (高度誤差)
30_48-30_48,30_48,30_48,True,True Stable,Medium (50~200人),2896.9243199067782,10.171606699721215,8.363980225469588,100.11711509932061,119.77482497687316,100.96276785714285,33,0.5860456567692711,59.71969861972494,2.129032258064516,🟠 Top 1%~5% 次級幹線 (高度誤差)
33_48-33_48,33_48,33_48,True,True Stable,Medium (50~200人),2877.5704436007572,10.137572341825301,8.973405579272685,130.502027419162,148.19231232026914,130.466325,34,0.5821303818437742,60.301829001568706,2.193548387096774,🟠 Top 1%~5% 次級幹線 (高度誤差)
30_49-30_49,30_49,30_49,True,Temporary Increase,Medium (50~200人),2834.0515259416397,10.06062254169627,6.859878413032185,77.11396259281436,95.28576072462589,77.80652857142857,35,0.5733265368464544,60.87515553841517,2.258064516129032,🟠 Top 1%~5% 次級幹線 (高度誤差)
42_46-42_46,42_46,42_46,True,True Stable,Medium (50~200人),2831.840255822701,10.056696872913486,8.408678587095116,116.23549716941861,132.57960053856948,118.63258571428571,36,0.57287919852966,61.44803473694482,2.3225806451612905,🟠 Top 1%~5% 次級幹線 (高度誤差)
